id,job_title,location,connection,rank_fasttext,fit_fasttext,fit_tfidf,rank_tfidf,rank_difference
40,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,1,0.9944657802581787,0.4169508690456814,3,2
10,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,2,0.9944657802581787,0.4169508690456814,4,2
62,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,3,0.9944657802581787,0.4169508690456814,5,2
53,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,4,0.9944657802581787,0.4169508690456814,6,2
67,"Human Resources, Staffing and Recruiting Professional","Jackson, Mississippi Area",500+ ,5,0.994375717639923,0.26421236194345904,27,22
29,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,6,0.994158935546875,0.35289885766015744,8,2
27,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,7,0.994158935546875,0.35289885766015744,7,0
78,Human Resources Generalist at Schwan's,Amerika Birleşik Devletleri,500+ ,8,0.9787135243415832,0.28776393305000736,21,13
101,Human Resources Generalist at Loparex,"Raleigh-Durham, North Carolina Area",500+ ,9,0.9775867581367492,0.28776393305000736,19,10
71,"Human Resources Generalist at ScottMadden, Inc.","Raleigh-Durham, North Carolina Area",500+ ,10,0.9686774134635925,0.28776393305000736,20,10
68,Human Resources Specialist at Luxottica,Greater New York City Area,500+ ,11,0.9668644785881042,0.28505904522212655,22,11
75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621","San Jose, California",500+ ,12,0.9596219778060913,0.31525843793432984,10,-2
69,"Director of Human Resources North America, Groupe Beneteau","Greater Grand Rapids, Michigan Area",500+ ,13,0.9554749846458435,0.24932533070191484,28,15
81,Senior Human Resources Business Partner at Heil Environmental,"Chattanooga, Tennessee Area",455,14,0.954835910320282,0.23130738351389923,34,20
43,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,15,0.9428244352340698,0.26568046696552117,25,10
56,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,16,0.9428244352340698,0.26568046696552117,26,10
13,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,17,0.9428244352340698,0.26568046696552117,23,6
65,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,18,0.9428244352340698,0.26568046696552117,24,6
28,Seeking Human Resources Opportunities,"Chicago, Illinois",390,19,0.9408346829414368,0.46100243901176163,1,-18
30,Seeking Human Resources Opportunities,"Chicago, Illinois",390,20,0.9408346829414368,0.46100243901176163,2,-18
104,Director Of Administration at Excellence Logging,"Katy, Texas",500+ ,21,0.9287878394126892,0.2,42,21
94,Seeking Human  Resources Opportunities. Open to travel and relocation.,Amerika Birleşik Devletleri,415,22,0.9240406665802002,0.3292664869118689,9,-13
89,Director Human Resources  at EY,Greater Atlanta Area,349,23,0.9039228769302368,0.21750318191903523,35,12
77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",Dallas/Fort Worth Area,409,24,0.9009589277267456,0.20118887514822542,36,12
82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,"Austin, Texas Area",174,25,0.8447497030258179,0.16646031247940563,66,41
76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,"New York, New York",212,26,0.8443033049583435,0.15955643512957463,75,49
97,Aspiring Human Resources Professional,"Kokomo, Indiana Area",71,27,0.8263479432106018,0.3056803286980959,12,-15
85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International),Greater Philadelphia Area,500+ ,28,0.8258918642997741,0.2,47,19
66,Experienced Retail Manager and aspiring Human Resources Professional,"Austin, Texas Area",57,29,0.8192970469474793,0.13613391712362988,76,47
37,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,30,0.8191607636451721,0.16583460370593608,68,38
39,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,31,0.8191607636451721,0.16583460370593608,72,41
7,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,32,0.8191607636451721,0.16583460370593608,67,35
50,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,33,0.8191607636451721,0.16583460370593608,70,37
52,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,34,0.8191607636451721,0.16583460370593608,73,39
25,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,35,0.8191607636451721,0.16583460370593608,71,36
9,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,36,0.8191607636451721,0.16583460370593608,69,33
21,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,37,0.8155479432106018,0.29488032869809594,16,-21
33,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,38,0.8155479432106018,0.29488032869809594,13,-25
3,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,39,0.8155479432106018,0.29488032869809594,15,-24
17,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,40,0.8155479432106018,0.29488032869809594,14,-26
58,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,41,0.8155479432106018,0.29488032869809594,18,-23
46,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,42,0.8155479432106018,0.29488032869809594,17,-25
